# STAR             = Aldebaran
# RA(ICRS, deg)    = 68.980163
# Dec(ICRS, deg)   = 16.509302
# pmRA  (mas/yr)   = 63.4500
# pmDec (mas/yr)   = -188.940
# parallax (mas)   = 48.9400
# Vrad  (km/s)     = 54260.0
# Vtemplate (km/s) = 29617.0
# -------------------------------------------------------------------------------------------------------------------------------------- 
#           Filename                         JD_MID               BJD_MID           RV_raw        RV_bvc     Sigma1    Sigma2    Flux   
#                                            [days]                [days]            [m/s]         [m/s]      [m/s]     [m/s]    [ADU]  
# -------------------------------------------------------------------------------------------------------------------------------------- 
s1_2016-12-15T03-55-27_ext.iod        2457737.6636893000  2457737.6700061853      62022.61      54473.03     73.13      2.24   20185.7
s1_2016-12-15T03-56-02_ext.iod        2457737.6640876001  2457737.6704044752      62024.40      54474.09     71.40      2.11   26222.6
s1_2016-12-15T03-56-36_ext.iod        2457737.6644854001  2457737.6708022654      62024.20      54473.16     71.33      2.11   26496.4
s1_2016-12-15T20-20-01_ext.iod        2457738.3474099999  2457738.3537100246      61681.44      54440.36     68.43      2.10   44414.9
s1_2016-12-15T20-20-35_ext.iod        2457738.3478084002  2457738.3541084155      61684.14      54442.31     66.12      2.07   43516.0
s1_2016-12-15T20-21-10_ext.iod        2457738.3482122002  2457738.3545122058      61685.61      54443.00     69.97      2.20   43330.2
s1_2016-12-15T22-20-20_ext.iod        2457738.4309645998  2457738.4372625798      61875.91      54437.25     69.55      2.18   27376.1
s1_2016-12-15T22-20-54_ext.iod        2457738.4313608999  2457738.4376588701      61876.84      54437.09     67.55      2.10   30530.5
s1_2016-12-15T22-21-28_ext.iod        2457738.4317572000  2457738.4380551605      61877.83      54437.00     70.11      2.08   38599.6
s1_2016-12-16T03-54-16_ext.iod        2457738.6628624001  2457738.6691543693      62476.09      54416.09     70.92      1.93   37940.8
s1_2016-12-16T03-54-51_ext.iod        2457738.6632747999  2457738.6695667580      62475.87      54415.13     70.55      2.04   31887.8
s1_2016-12-16T03-55-26_ext.iod        2457738.6636713999  2457738.6699633473      62480.13      54418.67     69.56      2.26   36139.3
s1_2016-12-22T20-17-41_ext.iod        2457745.3457938000  2457745.3518760190      65239.87      54465.20    111.42      4.67    4766.8
s1_2016-12-22T20-18-16_ext.iod        2457745.3461970999  2457745.3522793045      65234.05      54458.53     85.62      3.14   11624.7
s1_2016-12-22T22-56-55_ext.iod        2457745.4563718000  2457745.4624499939      65521.40      54458.66     93.34      3.57    7034.5
s1_2016-12-22T22-58-04_ext.iod        2457745.4571698001  2457745.4632479646      65525.10      54460.02     90.98      3.31    9971.1
s1_2016-12-28T19-58-38_ext.iod        2457751.3325626999  2457751.3383947103      68126.71      54459.85     86.13      3.18   19155.3
s1_2016-12-28T19-59-13_ext.iod        2457751.3329632999  2457751.3387952922      68126.18      54458.47     88.01      3.00   19796.2
s1_2016-12-28T19-59-47_ext.iod        2457751.3333618999  2457751.3391938740      68126.95      54458.40     91.81      3.52   16665.7
s1_2016-12-28T20-43-09_ext.iod        2457751.3634807002  2457751.3693112973      68196.89      54459.32     86.46      3.02   16448.1
s1_2016-12-28T20-43-44_ext.iod        2457751.3638847000  2457751.3697152785      68196.02      54457.47     83.30      2.78   28941.5
s1_2016-12-28T20-44-19_ext.iod        2457751.3642849000  2457751.3701154604      68195.31      54455.77     94.80      3.32   11533.6
s1_2016-12-29T03-56-12_ext.iod        2457751.6642026999  2457751.6700191069      68930.96      54442.25     84.94      2.94   20348.7
s1_2016-12-29T03-56-46_ext.iod        2457751.6645976999  2457751.6704140878      68931.45      54442.24     78.46      2.77   19065.2
s1_2016-12-29T03-57-21_ext.iod        2457751.6650026999  2457751.6708190683      68931.95      54442.23     86.04      3.08   20869.3
s1_2016-12-29T19-57-37_ext.iod        2457752.3318547001  2457752.3376393938      68510.72      54372.78     78.15      2.54   38146.3
